,country,beer,spirit,wine,liters,continent,volume
0,Afghanistan,0,0,0,0,AS,low
1,Albania,89,132,54,5,EU,large
2,Algeria,25,0,14,1,AF,low
3,Andorra,245,138,312,12,EU,very large
4,Angola,217,57,45,6,AF,large
5,Antigua & Barbuda,102,128,45,5,,large
6,Argentina,193,25,221,8,SA,very large
7,Armenia,21,179,11,4,EU,low
8,Australia,261,72,212,10,OC,very large
9,Austria,279,75,191,10,EU,very large
10,Azerbaijan,21,46,5,1,EU,low
11,Bahamas,122,176,51,6,,large
12,Bahrain,42,63,7,2,AS,low
13,Bangladesh,0,0,0,0,AS,low
14,Barbados,143,173,36,6,,large
15,Belarus,142,373,42,14,EU,very large
16,Belgium,295,84,212,10,EU,very large
17,Belize,263,114,8,7,,large
18,Benin,34,4,13,1,AF,low
19,Bhutan,23,0,0,0,AS,low
20,Bolivia,167,41,8,4,SA,low
21,Bosnia-Herzegovina,76,173,8,5,EU,large
22,Botswana,173,35,35,5,AF,large
23,Brazil,245,145,16,7,SA,large
24,Brunei,31,2,1,1,AS,low
25,Bulgaria,231,252,94,10,EU,very large
26,Burkina Faso,25,7,7,4,AF,large
27,Burundi,88,0,0,6,AF,large
28,Cote d'Ivoire,37,1,7,4,AF,low
29,Cabo Verde,144,56,16,4,AF,low
30,Cambodia,57,65,1,2,AS,low
31,Cameroon,147,1,4,6,AF,large
32,Canada,240,122,100,8,,very large
33,Central African Republic,17,2,1,2,AF,low
34,Chad,15,1,1,0,AF,low
35,Chile,130,124,172,8,SA,large
36,China,79,192,8,5,AS,large
37,Colombia,159,76,3,4,SA,low
38,Comoros,1,3,1,0,AF,low
39,Congo,76,1,9,2,AF,low
40,Cook Islands,0,254,74,6,OC,large
41,Costa Rica,149,87,11,4,,large
42,Croatia,230,87,254,10,EU,very large
43,Cuba,93,137,5,4,,low
44,Cyprus,192,154,113,8,EU,very large
45,Czech Republic,361,170,134,12,EU,very large
46,North Korea,0,0,0,0,AS,low
47,DR Congo,32,3,1,2,AF,low
48,Denmark,224,81,278,10,EU,very large
49,Djibouti,15,44,3,1,AF,low
50,Dominica,52,286,26,7,,large
51,Dominican Republic,193,147,9,6,,large
52,Ecuador,162,74,3,4,SA,low
53,Egypt,6,4,1,0,AF,low
54,El Salvador,52,69,2,2,,low
55,Equatorial Guinea,92,0,233,6,AF,large
56,Eritrea,18,0,0,0,AF,low
57,Estonia,224,194,59,10,EU,very large
58,Ethiopia,20,3,0,1,AF,low
59,Fiji,77,35,1,2,OC,low
60,Finland,263,133,97,10,EU,very large
61,France,127,151,370,12,EU,very large
62,Gabon,347,98,59,9,AF,very large
63,Gambia,8,0,1,2,AF,low
64,Georgia,52,100,149,5,EU,large
65,Germany,346,117,175,11,EU,very large
66,Ghana,31,3,10,2,AF,low
67,Greece,133,112,218,8,EU,very large
68,Grenada,199,438,28,12,,very large
69,Guatemala,53,69,2,2,,low
70,Guinea,9,0,2,0,AF,low
71,Guinea-Bissau,28,31,21,2,AF,low
72,Guyana,93,302,1,7,SA,large
73,Haiti,1,326,1,6,,large
74,Honduras,69,98,2,3,,low
75,Hungary,234,215,185,11,EU,very large
76,Iceland,233,61,78,7,EU,large
77,India,9,114,0,2,AS,low
78,Indonesia,5,1,0,0,AS,low
79,Iran,0,0,0,0,AS,low
80,Iraq,9,3,0,0,AS,low
81,Ireland,313,118,165,11,EU,very large
82,Israel,63,69,9,2,AS,low
83,Italy,85,42,237,6,EU,large
84,Jamaica,82,97,9,3,,low
85,Japan,77,202,16,7,AS,large
86,Jordan,6,21,1,0,AS,low
87,Kazakhstan,124,246,12,7,AS,large
88,Kenya,58,22,2,2,AF,low
89,Kiribati,21,34,1,1,OC,low
90,Kuwait,0,0,0,0,AS,low
91,Kyrgyzstan,31,97,6,2,AS,low
92,Laos,62,0,123,6,AS,large
93,Latvia,281,216,62,10,EU,very large
94,Lebanon,20,55,31,2,AS,low
95,Lesotho,82,29,0,3,AF,low
96,Liberia,19,152,2,3,AF,low
97,Libya,0,0,0,0,AF,low
98,Lithuania,343,244,56,13,EU,very large
99,Luxembourg,236,133,271,11,EU,very large
100,Madagascar,26,15,4,1,AF,low
101,Malawi,8,11,1,2,AF,low
102,Malaysia,13,4,0,0,AS,low
103,Maldives,0,0,0,0,AS,low
104,Mali,5,1,1,1,AF,low
105,Malta,149,100,120,7,EU,large
106,Marshall Islands,0,0,0,0,OC,low
107,Mauritania,0,0,0,0,AF,low
108,Mauritius,98,31,18,3,AF,low
109,Mexico,238,68,5,6,,large
110,Micronesia,62,50,18,2,OC,low
111,Monaco,0,0,0,0,EU,low
112,Mongolia,77,189,8,5,AS,large
113,Montenegro,31,114,128,5,EU,large
114,Morocco,12,6,10,0,AF,low
115,Mozambique,47,18,5,1,AF,low
116,Myanmar,5,1,0,0,AS,low
117,Namibia,376,3,1,7,AF,large
118,Nauru,49,0,8,1,OC,low
119,Nepal,5,6,0,0,AS,low
120,Netherlands,251,88,190,9,EU,very large
121,New Zealand,203,79,175,9,OC,very large
122,Nicaragua,78,118,1,4,,low
123,Niger,3,2,1,0,AF,low
124,Nigeria,42,5,2,9,AF,very large
125,Niue,188,200,7,7,OC,large
126,Norway,169,71,129,7,EU,large
127,Oman,22,16,1,1,AS,low
128,Pakistan,0,0,0,0,AS,low
129,Palau,306,63,23,7,OC,large
130,Panama,285,104,18,7,,large
131,Papua New Guinea,44,39,1,2,OC,low
132,Paraguay,213,117,74,7,SA,large
133,Peru,163,160,21,6,SA,large
134,Philippines,71,186,1,5,AS,large
135,Poland,343,215,56,11,EU,very large
136,Portugal,194,67,339,11,EU,very large
137,Qatar,1,42,7,1,AS,low
138,South Korea,140,16,9,10,AS,very large
139,Moldova,109,226,18,6,EU,large
140,Romania,297,122,167,10,EU,very large
141,Russian Federation,247,326,73,12,AS,very large
142,Rwanda,43,2,0,7,AF,large
143,St. Kitts & Nevis,194,205,32,8,,large
144,St. Lucia,171,315,71,10,,very large
145,St. Vincent & the Grenadines,120,221,11,6,,large
146,Samoa,105,18,24,3,OC,low
147,San Marino,0,0,0,0,EU,low
148,Sao Tome & Principe,56,38,140,4,AF,low
149,Saudi Arabia,0,5,0,0,AS,low
150,Senegal,9,1,7,0,AF,low
151,Serbia,283,131,127,10,EU,very large
152,Seychelles,157,25,51,4,AF,low
153,Sierra Leone,25,3,2,7,AF,large
154,Singapore,60,12,11,2,AS,low
155,Slovakia,196,293,116,11,EU,very large
156,Slovenia,270,51,276,11,EU,very large
157,Solomon Islands,56,11,1,1,OC,low
158,Somalia,0,0,0,0,AF,low
159,South Africa,225,76,81,8,AF,very large
160,Spain,284,157,112,10,EU,very large
161,Sri Lanka,16,104,0,2,AS,low
162,Sudan,8,13,0,2,AF,low
163,Suriname,128,178,7,6,SA,large
164,Swaziland,90,2,2,5,AF,large
165,Sweden,152,60,186,7,EU,large
166,Switzerland,185,100,280,10,EU,very large
167,Syria,5,35,16,1,AS,low
168,Tajikistan,2,15,0,0,AS,low
169,Thailand,99,258,1,6,AS,large
170,Macedonia,106,27,86,4,EU,low
171,Timor-Leste,1,1,4,0,AS,low
172,Togo,36,2,19,1,AF,low
173,Tonga,36,21,5,1,OC,low
174,Trinidad & Tobago,197,156,7,6,,large
175,Tunisia,51,3,20,1,AF,low
176,Turkey,51,22,7,1,AS,low
177,Turkmenistan,19,71,32,2,AS,low
178,Tuvalu,6,41,9,1,OC,low
179,Uganda,45,9,0,8,AF,very large
180,Ukraine,206,237,45,9,EU,very large
181,United Arab Emirates,16,135,5,3,AS,low
182,United Kingdom,219,126,195,10,EU,very large
183,Tanzania,36,6,1,6,AF,large
184,USA,249,158,84,9,,very large
185,Uruguay,115,35,220,7,SA,large
186,Uzbekistan,25,101,8,2,AS,low
187,Vanuatu,21,18,11,1,OC,low
188,Venezuela,333,100,3,8,SA,large
189,Vietnam,111,2,1,2,AS,low
190,Yemen,6,0,0,0,AS,low
191,Zambia,32,19,4,2,AF,low
192,Zimbabwe,64,18,4,5,AF,large
193,Mira test,1,1,1,1,1,Mira
